"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
record_id,demographics,,text,"Record ID",,,,,,,,,,,,,
pastor_info,demographics,,descriptive,"By taking the assessment below you acknowledge that this assessment is for demonstration purposes only and should not, under any circumstances, be used on real clinical encounters with patients.  This demonstration DOES NOT meet HIPAA requirements.  For more information on adapting PASTOR for use in a clinic or a research protocol please contact <a href=""mailto:jsuen@dvcipm.org"">Joshua Suen</a>.",,,,,,,,,,,,,
email,demographics," ",text,"What is your email address?",,"Note: After completion a URL will be sent to this email address to allow you to view your custom PASTOR report.",email,,,y,,,,,,,
gender,demographics," ",radio,Gender:,"1, Male | 2, Female",,,,,,,,,,,,
reg3,demographics," ",radio,"What is the highest grade in school that you completed?","1, 5th grade or less | 2, 6th grade | 3, 7th grade | 4, 8th grade | 5, Some high school | 6, High school grad/GED | 7, Some college / Technical degree / AA | 8, College degree (BA/BS) | 9, Advanced degree (MA, PhD, MD)",,,,,,,,,,,,
reg4,demographics," ",text,"What is your occupation?",,,,,,,,,,,,,
reg6,demographics," ",radio,"What is your family household income (from all sources)?","1, Less than $20,000 | 2, Between $20,000 and $49,000 | 3, Between $50,000 and $99,999 | 4, $100,000 or more | 5, I choose not to answer this question.",,,,,,,,,,,,
reg9,demographics," ",radio,"What is your marital status?","1, Married | 2, Single | 3, Divorced | 4, Widowed | 5, Separated | 6, Domestic Partner",,,,,,,,,,,,
reg5,demographics," ",radio,"Are you the primary person who has medical coverage or are you the beneficiary of the primary person?","1, Primary | 2, Beneficiary",,,,,,,,,,,,
reg7,demographics," ",radio,"Are you an inpatient (currently in a hospital) or outpatient (currently seen by clinics)?","1, Inpatient | 2, Outpatient",,,,,,,,,,,,
reg8,demographics," ",yesno,"Do you have a primary care provider?",,,,,,,,,,,,,
reg8a,demographics," ",yesno,"Do you know the name of your primary care provider?",,,,,,,"[reg8] = '1'",,,,,,
reg8b,demographics," ",text,"Please provide the name of your primary care provider:",,,,,,,"[reg8a] = '1' and [aux_bucket] = '1'",,,,,,
reg25,demographics," ",radio,"Do you have a case manager?","1, Yes | 2, No | 3, I don't know",,,,,,,,,,,,
reg25a,demographics," ",yesno,"Do you know the name of your case manager?",,,,,,,"[reg25] = '1'",,,,,,
reg25b,demographics," ",text,"Please provide the name of your case manager:",,,,,,,"[reg25a] = '1'",,,,,,
reg10,demographics," ",radio,"What is your military status?","1, Active Military | 2, Reserve | 3, Guard | 4, Retired Military | 5, Civilian",,,,,,,,,,,,
reg12,demographics," ",radio,"What is your rank?","1, E1 | 2, E2 | 3, E3 | 4, E4 | 5, E5 | 6, E6 | 7, E7 | 8, E8 | 9, E9 | 10, O1 | 11, O2 | 12, O3 | 13, O4 | 14, O5 | 15, O6 | 16, O7 | 17, O8 | 18, O9 | 19, O10 | 20, W1 | 21, W2 | 22, W3 | 23, W4 | 24, W5",,,,,,"[reg10] = '1' or [reg10] = '2' or [reg10] = '3' or [reg10] = '4'",,,,,,
reg13,demographics," ",radio,"What is your branch?","1, Army | 2, Navy | 3, Air Force | 4, Coast Guard | 5, Marine | 6, Federal Service | 7, Army Reserve | 8, Army National Guard | 9, Navy Reserve | 10, Air Guard | 11, Marine Corps Reserve",,,,,,"[reg10] = '1' or [reg10] = '2' or [reg10] = '3' or [reg10] = '4'",,,,,,
reg15,demographics," ",radio,"When did the injury that is related to your pain occur?","1, Pre-Deployment | 2, Durring Deployment | 3, Post-deployment | 4, Not deployment related",,,,,,"[reg10] = '1' or [reg10] = '2' or [reg10] = '3' or [reg10] = '4'",,,,,,
reg20,demographics," ",radio,"Do you have a duty restriction for the condition you are being seen for?","1, Yes | 2, No | 3, I don't know",,,,,,"[reg10] = '1' or [reg10] = '2' or [reg10] = '3' or [reg10] = '4'",,,,,,
reg18,demographics," ",yesno,"Did you pass your last or most recent Military Fitness Test?",,,,,,,"[reg10] = '1' or [reg10] = '2' or [reg10] = '3' or [reg10] = '4'",,,,,,
reg19,demographics," ",radio,"If you have not passed the Military Physical Fitness Test, please indicate the reason.","1, Failed | 2, Waived | 3, Not taken",,,,,,"[reg18] = '0'",,,,,,
reg21,demographics," ",radio,"Is this duty restriction temporary or permanent?","1, Temporary | 2, Permanent | 3, Unknown",,,,,,"[reg20] = '1'",,,,,,
hww_01,demographics," ",yesno,"Does pain limit the number of hours you can work (including work at home)?",,,,,,,,,,,,,
datetime,pastor_section_1_of_11,,text,"What is today's date?",,,date_mdy,,,,,,,,,,
aux_bucket,pastor_section_1_of_11," ",yesno,"PASTOR is designed to assist your physician in better understanding how <b>you</b> are impacted by chronic pain.  Some of these questions are optional and it is up to you about whether or not you would like to complete them.

Would you like to complete the optional PASTOR questions?",,,,,,,,,,,,,
dvprs_05,pastor_section_1_of_11," ",text,"Please select your current pain score:",,@IMAGEMAP=SCALE_DVPRS,,,,,,,,,,,
dvprs_01,pastor_section_1_of_11," ",text,"Select the one number that describes how, during the past week, pain has interfered with your <i>General Activity</i>:",,@IMAGEMAP=SUPPLEMENTAL,,,,,,,,,,,
dvprs_02,pastor_section_1_of_11," ",text,"Select the one number that describes how during the past week, pain has affected your <i>Mood</i>:",,@IMAGEMAP=SUPPLEMENTAL,,,,,,,,,,,
dvprs_03,pastor_section_1_of_11," ",text,"Select the one number that describes how, during the past week, pain has contributed to your <i>Stress</i>:",,@IMAGEMAP=SUPPLEMENTAL,,,,,,,,,,,
dvprs_04,pastor_section_1_of_11," ",text,"Select the one numbe that describes how, during the past week, pain has interfered with your <i>Sleep</i>:",,@IMAGEMAP=SUPPLEMENTAL,,,,,,,,,,,
pastor_worst_pain,pastor_section_1_of_11," ",radio,"Please rate the worst pain you have experienced in the past 7 days","1, No pain | 2, Hardly notice pain | 3, Notice pain, does not interfere with activities | 4, Sometimes distracts me | 5, Distracts me, can do usual activities | 6, Interrupts some activities | 7, Hard to ignore, avoid usual activities | 8, Focus of attention, prevents doing daily activities | Awful, hard to do anything | 9, Can't bear the pain, unable to do anything | 10, As bad as it could be, nothing else matters",,,,,,,,,,,,
pastor_average_pain,pastor_section_1_of_11," ",radio,"Please rate the average pain you have experienced in the past 7 days:","1, No pain | 2, Hardly notice pain | 3, Notice pain, does not interfere with activities | 4, Sometimes distracts me | 5, Distracts me, can do usual activities | 6, Interrupts some activities | 7, Hard to ignore, avoid usual activities | 8, Focus of attention, prevents doing daily activities | Awful, hard to do anything | 9, Can't bear the pain, unable to do anything | 10, As bad as it could be, nothing else matters",,,,,,,,,,,,
malepainmap_all,pastor_section_1_of_11," ",text,"Select all the parts of your body that have had pain or discomfort in the past 7 days.",,@IMAGEMAP=PAINMAP_MALE,,,,,"[event_1_arm_1][gender] = '1'",,,,,,
femalepainmap_all,pastor_section_1_of_11," ",text,"Select all the parts of your body that have had pain or discomfort in the past 7 days.",,@IMAGEMAP=PAINMAP_FEMALE,,,,,"[event_1_arm_1][gender] = '2'",,,,,,
